HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP
0.0,0.0,0.0,0.0,20.42910177219916,15.6365,0.0,
0.0,0.0,0.0,0.0,20.533513535360658,15.186501,0.0,
0.0,0.0,0.0,0.0,20.624145505344206,14.736501,0.0,
0.0,0.0,0.0,0.0,20.72699597172295,14.486501,0.0,
0.0,0.0,0.0,0.0,20.833904195436,14.3365,0.0,
0.0,0.0,0.0,0.0,20.857460083952265,13.5865,0.0,
0.0,0.0,0.0,0.0,20.97724029484915,13.736501,0.0,
0.0,0.0,0.0,0.0,21.124701478361427,13.736501,0.0,
0.0,0.0,0.0,0.0,21.289318314056306,13.436501,0.0,
0.0,0.0,0.0,0.0,21.535340153236614,12.936501,0.0,
0.0,0.0,0.0,0.0,21.65631864706673,12.6365,0.0,
0.0,0.0,0.0,0.0,21.66437190139677,12.686501,54.29275300744152,
0.0,0.0,0.0,0.0,21.812532061878716,12.8865,182.1480343881051,
0.0,0.0,0.0,0.0,22.133908480094494,13.186501,210.17106711777703,
0.0,0.0,0.0,0.0,22.49889400687029,13.5865,89.12486281972292,
0.0,0.0,0.0,0.0,22.646434703452396,13.236501,78.14589237778276,
0.0,0.0,0.0,0.0,22.461276927241173,12.7865,31.499999999999996,
0.0,0.0,0.0,0.0,22.3959885458241,12.1365,21.7,
0.0,0.0,0.0,0.0,22.350465124184755,11.5865,2.8,
0.0,0.0,0.0,0.0,22.31246780157541,11.186501,0.0,
0.0,0.0,0.0,0.0,22.310777361542996,11.1365,0.0,
0.0,0.0,0.0,0.0,22.359197827249407,11.486501,0.0,
0.0,0.0,0.0,0.0,22.440769398557524,12.0365,0.0,
0.0,0.0,0.0,0.0,22.572467222636714,12.8865,0.0,
0.0,0.0,0.0,0.0,22.722018297513692,13.736501,0.0,
0.0,0.0,0.0,0.0,22.805597647995285,13.936501,0.0,
0.0,0.0,0.0,0.0,22.789447681477803,13.3365,0.0,
0.0,0.0,0.0,0.0,22.87423707807581,13.6365,0.0,
0.0,0.0,0.0,0.0,22.810441410844437,12.736501,0.0,
0.0,0.0,0.0,0.0,22.8413127314614,12.736501,0.0,
0.0,0.0,0.0,0.0,22.826519163309342,12.3865,0.0,
0.0,0.0,0.0,0.0,22.855979942083586,12.0865,0.0,
0.0,0.0,0.0,0.0,22.910900690916446,11.5865,0.0,
0.0,0.0,0.0,0.0,23.000084508664145,10.5365,0.0,
0.0,0.0,0.0,0.0,22.992936890925126,9.986501,0.0,
0.0,0.0,0.0,0.0,22.824973315664373,9.686501,7.699999999999999,
0.0,0.0,0.0,0.0,22.778540493472402,9.8865,39.66930331327942,
0.0,0.0,0.0,0.0,22.88478889459675,10.0365,38.5,
0.0,0.0,0.0,0.0,23.06845886323498,9.686501,70.05501484569236,
0.0,0.0,0.0,0.0,23.190590725694143,10.0865,58.8,
0.0,0.0,0.0,0.0,23.042293922454284,9.936501,158.59664030584858,
0.0,0.0,0.0,0.0,22.90326640143392,9.1365,93.34541902490467,
0.0,0.0,0.0,0.0,22.753741319615866,8.486501,12.129833553446053,
0.0,0.0,0.0,0.0,22.582417284939346,7.7365,0.0,
0.0,0.0,0.0,0.0,22.449785501871645,7.3865,0.0,
0.0,0.0,0.0,0.0,22.324578963279958,7.1365,0.0,
0.0,0.0,0.0,0.0,22.177028960470864,6.7365,0.0,
0.0,0.0,0.0,0.0,22.03603225807002,6.4365,0.0,
0.0,0.0,0.0,0.0,21.878255742897316,6.0365,0.0,
0.0,0.0,0.0,0.0,21.701631009414708,5.5365,0.0,
0.0,0.0,0.0,0.0,21.561866374632423,5.3865,0.0,
0.0,0.0,0.0,0.0,21.332052412275374,4.5365,0.0,
0.0,0.0,0.0,0.0,21.138135355482294,4.0865,0.0,
0.0,0.0,0.0,0.0,21.05330408252717,4.5365,0.0,
0.0,0.0,0.0,0.0,20.93045440589005,4.5864997,0.0,
0.0,0.0,0.0,0.0,20.870900503849022,4.7365,0.0,
0.0,0.0,0.0,0.0,20.907928855201543,5.1365,0.0,
0.0,0.0,0.0,0.0,21.168796151388285,6.2865,0.0,
0.0,0.0,0.0,0.0,21.21105019126061,6.5864997,0.7,
0.0,0.0,0.0,0.0,21.115654080742104,7.1365,13.299999999999999,
0.0,0.0,0.0,0.0,21.166173886992706,7.9365,100.31402749664305,
0.0,0.0,0.0,0.0,21.315564094754432,8.3365,79.63473945627051,
0.0,0.0,0.0,0.0,21.69078629114091,8.236501,315.44958529778654,
0.0,0.0,0.0,0.0,21.835532004584287,8.686501,136.87021839126487,
0.0,0.0,0.0,0.0,21.694343496211093,8.8365,131.09546116549285,
0.0,0.0,0.0,0.0,21.641762933618942,8.3365,148.3290181749109,
0.0,0.0,0.0,0.0,21.500028736231986,7.6865,18.405221735542664,
0.0,0.0,0.0,0.0,21.42245026214487,7.5864997,0.0,
0.0,0.0,0.0,0.0,21.398301857339273,7.8865,0.0,
0.0,0.0,0.0,0.0,21.369382157264244,8.0865,0.0,
0.0,0.0,0.0,0.0,21.352566091398113,8.3365,0.0,
0.0,0.0,0.0,0.0,21.38086517764767,8.8865,0.0,
0.0,0.0,0.0,0.0,21.3772334723847,9.0865,0.0,
0.0,0.0,0.0,0.0,21.37866295432782,9.2865,0.0,
0.0,0.0,0.0,0.0,21.35937213490412,9.2865,0.0,
0.0,0.0,0.0,0.0,21.346974705010535,9.3365,0.0,
0.0,0.0,0.0,0.0,21.393853452211488,9.8365,0.0,
0.0,0.0,0.0,0.0,21.445580429061188,10.2865,0.0,
0.0,0.0,0.0,0.0,21.481550633000975,10.5365,0.0,
0.0,0.0,0.0,0.0,21.588254109912626,10.936501,0.0,
0.0,0.0,0.0,0.0,21.723067869479628,11.0365,0.0,
0.0,0.0,0.0,0.0,22.01410869012009,11.436501,0.0,
0.0,0.0,0.0,0.0,22.124389328335155,11.436501,0.0,
0.0,0.0,0.0,0.0,22.115231344010176,11.936501,5.6,
0.0,0.0,0.0,0.0,22.117161226600302,12.0865,11.899999999999999,
0.0,0.0,0.0,0.0,22.29198522340472,12.2865,19.599999999999998,
0.0,0.0,0.0,0.0,22.451999202491624,11.3865,31.499999999999996,
0.0,0.0,0.0,0.0,22.62366965501713,11.8865,20.299999999999997,
0.0,0.0,0.0,0.0,22.51030062282877,12.236501,22.4,
0.0,0.0,0.0,0.0,22.49478087195442,12.1365,11.2,
0.0,0.0,0.0,0.0,22.472877488814945,11.736501,10.519081266431384,
0.0,0.0,0.0,0.0,22.45368525610688,11.486501,0.0,
0.0,0.0,0.0,0.0,22.4366995237324,11.2865,0.0,
0.0,0.0,0.0,0.0,22.460062740052635,11.436501,0.0,
0.0,0.0,0.0,0.0,22.42884791977699,11.1365,0.0,
0.0,0.0,0.0,0.0,22.487161506548585,11.5865,0.0,
0.0,0.0,0.0,0.0,22.43975968123593,11.1365,0.0,
0.0,0.0,0.0,0.0,22.41442118082555,10.936501,0.0,
